,w,w_ei,w_e1,w_g0,w_g5,w_d5,w_d2
0,330.973668,115.04613699999999,115.488977,119.499468,13.086253000000001,103.69393,64.360932
1,50.543405,135.81563500000001,119.922707,9.605229,5.0389539999999995,113.769476,73.972281
2,15.667097,69.307279,112.96180700000001,6.1779090000000005,4.243277,106.84688499999999,97.523637
3,8.971392999999999,85.24936600000001,109.924015,5.659427,3.840077,125.100051,85.862944
4,5.824041,98.3400656,77.903363,4.793495,4.084315,88.883765,83.875051
5,5.237485,54.518155,76.276251,8.591061,3.936775,95.95431599999999,88.164729
6,4.6455459999999995,77.977747,65.783806,16.978483,5.712612,92.8211,90.289229
7,3.4429550000000004,75.566474,73.557018,5.834903000000001,4.651274,67.055703,91.900884
8,3.561596,99.94856300000001,55.646207000000004,7.3112189999999995,7.204126,62.227868,92.131775
9,3.261248,86.956616,46.765772,4.606133,3.7956709999999996,68.943506,92.192355
10,3.123788,74.01675300000001,28.703611000000002,5.556375,6.617303,57.16119,88.98125399999999
11,3.909022,25.735131,31.419098,3.688352,9.674774,64.04049499999999,87.65676599999999
12,3.99493,15.868179,66.357504,3.7412739999999998,11.822972,90.63042,85.521648
13,4.371167,17.557551,35.045231,9.668000000000001,5.447025,72.753775,85.42580699999999
14,3.364666,13.106155,46.538636,4.626775,5.4771920000000005,87.990302,70.81691500000001
15,3.141504,11.106665,24.201723,7.189538,7.325479,76.925859,74.164922
16,4.158193000000001,8.873543,46.623361,4.90186,6.450725,46.342560999999996,62.211872
17,3.654223,8.31086,28.115869,4.59687,5.039492,59.501245000000004,54.01236299999999
18,4.094774,6.934869000000001,33.688995999999996,10.518672,10.651950000000001,49.180707,63.554226
19,3.1625180000000004,7.239284,28.925475,4.1568130000000005,7.583532,58.62382900000001,50.806560999999995
20,4.632165,6.289313000000001,29.881649,6.912388999999999,8.648984,46.262057,47.396915
21,3.675068,5.4041239999999995,35.930802,4.116446,6.782664,41.94541,45.655677
22,3.3631050000000005,5.663619000000001,26.757305999999996,10.248413000000001,8.370574999999999,41.967133000000004,38.305451000000005
23,3.517685,4.607939,11.697192,5.740106,4.447902,23.781345,42.968733
24,3.617578,4.0424500000000005,11.144022000000001,17.27842,10.944239,27.933413,48.21368
25,3.661222,2.874416,4.000573999999999,19.77856,7.0631200000000005,52.96057400000001,34.367412
26,3.133706,3.393947,4.103513,13.392291,9.2887,40.716939,41.488516
27,3.065915,3.743434,3.837394,20.527988,6.815936000000001,43.72412,40.951647
28,5.82941,3.227642,3.3363009999999997,5.869229,10.414426,35.179323000000004,32.434465
29,4.114525,4.938427,3.5596870000000003,5.752629,9.271071000000001,33.970436,29.407487
30,3.261534,3.36049,5.580146,3.829445,9.510125,19.439111,39.061096
31,3.005798,3.3127690000000003,4.714727,12.96728,6.436024999999999,13.721178,40.536302
32,4.065738,2.9834240000000003,3.6777089999999997,9.399878000000001,7.139548,11.180572,43.16616
33,4.836853,3.5375120000000004,3.1656419999999996,8.862663,8.392066,24.524561,35.404237
34,3.3927400000000003,4.944096,3.291198,14.2217,9.200595999999999,10.693371,29.934319999999996
35,3.880125,3.252452,5.333414,11.390906000000001,6.940027,8.685463,36.309038
36,3.5163680000000004,2.967736,3.460581,21.428033,10.278744,8.620077,41.54004
37,4.205904,3.34909,3.042354,8.782858000000001,8.834846,8.772279,31.717587
38,2.988169,2.680204,3.6171189999999998,10.871863,11.953879,18.120939,35.777103
39,4.504382,3.837873,3.63249,11.51363,8.34431,16.842236,32.475174
40,3.705647,4.072182,3.10819,6.383784,10.675158,8.020797,35.36864
